epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,11287,0.75279,0.59243,0.99973,0.75508,0.87498,0.8454,0.63938,1.01075,0.93286,1.17212,0.000198071,0.000198071,0.000198071
81,11376.8,0.75398,0.62906,1.00111,0.77675,0.86886,0.84725,0.62948,1.03183,0.967,1.1821,0.000189072,0.000189072,0.000189072
82,11469,0.73525,0.59778,0.99487,0.79152,0.79686,0.82617,0.63768,0.97663,0.9882,1.11114,0.000180073,0.000180073,0.000180073
83,11559.6,0.74533,0.60398,0.98963,0.7323,0.83606,0.82532,0.62317,1.02543,0.97481,1.12524,0.000171074,0.000171074,0.000171074
84,11650.3,0.74379,0.56637,0.99128,0.7408,0.84108,0.8342,0.62197,1.06551,0.94714,1.16106,0.000162075,0.000162075,0.000162075
85,11752.3,0.74664,0.59109,0.99767,0.747,0.8438,0.82928,0.62029,1.04148,0.92212,1.17236,0.000153076,0.000153076,0.000153076
86,11839,0.74719,0.58658,0.98726,0.74654,0.83881,0.84544,0.63341,1.04841,0.93034,1.18666,0.000144077,0.000144077,0.000144077
87,11926.1,0.74794,0.59355,0.99915,0.76394,0.83202,0.83926,0.62369,1.06339,0.93998,1.21684,0.000135077,0.000135077,0.000135077
88,12010.5,0.75687,0.58705,1.00612,0.77093,0.83208,0.83225,0.62369,1.05362,0.94691,1.21218,0.000126078,0.000126078,0.000126078
89,12095,0.71935,0.56393,0.98659,0.76253,0.81901,0.84242,0.62886,1.04604,0.92913,1.21109,0.000117079,0.000117079,0.000117079
90,12210.1,0.72279,0.57501,0.98773,0.78025,0.83635,0.83993,0.62998,1.02514,0.94383,1.20012,0.00010808,0.00010808,0.00010808
91,12327.3,0.70102,0.5133,0.98594,0.75422,0.81824,0.84048,0.62267,1.05418,1.03847,1.20196,9.9081e-05,9.9081e-05,9.9081e-05
92,12480.5,0.67699,0.49877,0.97681,0.80115,0.8067,0.84398,0.61511,1.07185,0.96808,1.20805,9.00819e-05,9.00819e-05,9.00819e-05
93,12630.9,0.67091,0.48464,0.97268,0.8164,0.8135,0.84385,0.62275,1.03028,0.92313,1.18059,8.10828e-05,8.10828e-05,8.10828e-05
94,12771.3,0.67016,0.47516,0.96855,0.8154,0.82404,0.8438,0.6327,1.01981,0.93761,1.17386,7.20837e-05,7.20837e-05,7.20837e-05
95,12919.7,0.6614,0.47965,0.96243,0.81012,0.83211,0.84479,0.62794,1.003,0.942,1.16284,6.30846e-05,6.30846e-05,6.30846e-05
96,13036.5,0.66365,0.46894,0.96954,0.8143,0.81989,0.84085,0.61761,1.02703,0.92485,1.18535,5.40855e-05,5.40855e-05,5.40855e-05
97,13137,0.64881,0.4631,0.95695,0.81871,0.81918,0.84316,0.61954,1.03293,0.90818,1.19229,4.50864e-05,4.50864e-05,4.50864e-05
98,13232.3,0.64731,0.46165,0.95993,0.82396,0.81843,0.84303,0.6219,1.03282,0.91826,1.19201,3.60873e-05,3.60873e-05,3.60873e-05
99,13332.7,0.65646,0.46464,0.96405,0.82825,0.81555,0.84028,0.62399,1.01415,0.9191,1.17669,2.70882e-05,2.70882e-05,2.70882e-05
100,13429.2,0.65292,0.46319,0.96621,0.83115,0.81227,0.84824,0.62709,1.02296,0.91877,1.18546,1.80891e-05,1.80891e-05,1.80891e-05
